OG,Symbol,Model,pvalue,fdr
OG0007515,BUB1,Ma:Man,6.042e-05,0.010115424
OG0007534,CD8A,Ma:Man,0.03308,1.0
OG0007616,DSE,Ma:Man,0.0006875,0.0741845238095238
OG0007780,CERKL,Ma:Man,0.0204,0.9888
OG0007796,ANKAR,Ma:Man,0.01308,0.7056971428571428
OG0007808,SLC39A10,Ma:Man,0.02179,1.0
OG0007826,STRADB,Ma:Man,8.814e-06,0.0030726960000000006
OG0007827,C2CD6,Ma:Man,0.03016,1.0
OG0007845,ST6GAL2,Ma:Man,0.01384,0.7379162352941177
OG0007915,DIAPH3,Ma:Man,0.02339,1.0
OG0007971,SACS,Ma:Man,0.03108,1.0
OG0007996,MPRIP,Ma:Man,0.0006857,0.0741845238095238
OG0007998,RASD1,Ma:Man,0.03752,1.0
OG0008009,MAPK7,Ma:Man,0.02269,1.0
OG0008024,SUV39H2,Ma:Man,0.006017,0.392360345323741
OG0008041,TAF3,Ma:Man,0.001492,0.14086966666666667
OG0008056,PITRM1,Ma:Man,0.00169,0.15630775510204084
OG0008081,HAVCR2,Ma:Man,0.01008,0.5856738461538462
OG0008140,TECPR2,Ma:Man,0.01069,0.6055885
OG0008159,CLMN,Ma:Man,0.005233,0.35134749629629625
OG0008188,GPR65,Ma:Man,0.01382,0.7379162352941177
OG0008241,DCST1,Ma:Man,1.656e-06,0.0009381239999999999
OG0008254,NUP210L,Ma:Man,0.01195,0.6564533333333333
OG0008257,CREB3L4,Ma:Man,0.006164,0.39907497142857146
OG0008267,CDS1,Ma:Man,0.00165,0.15418144329896907
OG0008343,CXXC5,Ma:Man,0.0002865,0.034624480000000006
OG0008358,FAM13B,Ma:Man,0.002415,0.20268111111111112
OG0008390,MVD,Ma:Man,0.002496,0.20755728440366975
OG0008412,ADAD2,Ma:Man,0.02145,1.0
OG0008490,CARMIL2,Ma:Man,0.01112,0.6221708641975309
OG0008534,TAF1B,Ma:Man,0.03501,1.0
OG0008557,ATAD2B,Ma:Man,0.009449,0.5597760522875818
OG0008558,MFSD2B,Ma:Man,0.03725,1.0
OG0008574,DRC1,Ma:Man,0.004748,0.33368167441860463
OG0008592,GTF3C2,Ma:Man,1.642e-05,0.004252310857142857
OG0008634,QPCT,Ma:Man,0.03744,1.0
OG0008656,CAMKMT,Ma:Man,2.643e-06,0.0011973112380952381
OG0008705,ROBO1,Ma:Man,1.533e-05,0.004210640000000001
OG0008714,ERICH6,Ma:Man,4.945e-07,0.00032015342857142856
OG0008793,C10orf71,Ma:Man,1.353e-05,0.004210640000000001
OG0008837,PLEKHG2,Ma:Man,7.731e-05,0.011639067540983608
OG0008849,SIPA1L3,Ma:Man,0.03331,1.0
OG0008927,RAPGEF1,Ma:Man,0.001488,0.14086966666666667
OG0008956,GOLGA2,Ma:Man,2.959e-05,0.00609554
OG0008984,GOLGA1,Ma:Man,0.001967,0.17652364356435643
OG0009006,PIGR,Ma:Man,0.02804,1.0
OG0009077,R3HCC1,Ma:Man,0.005117,0.34872547368421053
OG0009293,CUL7,Ma:Man,0.003003,0.23876484210526316
OG0009398,GRK5,Ma:Man,0.004096,0.30228071544715446
OG0009404,WDR11,Ma:Man,0.03459,1.0
OG0009459,IGF2R,Ma:Man,0.006891,0.4307587862068966
OG0009463,FNDC1,Ma:Man,0.004749,0.33368167441860463
OG0009468,ZDHHC14,Ma:Man,0.0003891,0.04464306835443038
OG0009493,MPPE1,Ma:Man,1.029e-05,0.00333102
OG0009511,TMEM150C,Ma:Man,0.01634,0.8367557062146893
OG0009517,FAM185A,Ma:Man,0.04742,1.0
OG0009519,GSAP,Ma:Man,0.04223,1.0
OG0009581,BRPF1,Ma:Man,0.0002594,0.031772994594594595
OG0009647,BFSP2,Ma:Man,0.02113,1.0
OG0009654,NEK11,Ma:Man,0.000592,0.06543765853658536
OG0009804,UBA7,Ma:Man,0.004504,0.32400203174603176
OG0009854,SCARB1,Ma:Man,4.822e-05,0.008598359215686274
OG0009865,OGFOD2,Ma:Man,0.02133,1.0
OG0009892,CUX2,Ma:Man,0.0248,1.0
OG0009902,OAS3,Ma:Man,0.01419,0.7521529824561404
OG0009965,MYO18B,Ma:Man,0.0001285,0.017647333333333334
OG0010068,IGDCC4,Ma:Man,1.807e-05,0.004388884210526315
OG0010072,RASL12,Ma:Man,0.004663,0.33279867716535433
OG0010121,TRPM7,Ma:Man,0.01744,0.8647947540983606
OG0010127,DTWD1,Ma:Man,0.0001617,0.02155365882352941
OG0010176,NALF1,Ma:Man,7.114e-10,1.0746882666666669e-06
OG0010184,CEP295,Ma:Man,0.001884,0.17076576000000002
OG0010216,NPAT,Ma:Man,0.04393,1.0
OG0010245,CEP126,Ma:Man,0.02232,1.0
OG0010274,TDRD12,Ma:Man,3.1e-05,0.006244088888888889
OG0010295,CFP,Ma:Man,0.02558,1.0
OG0010302,WAS,Ma:Man,2.06e-12,9.335920000000001e-09
OG0010492,TMEM74B,Ma:Man,0.004102,0.30228071544715446
OG0010589,HNF4A,Ma:Man,0.002904,0.23839122123893805
OG0010602,TP53TG5,Ma:Man,0.01605,0.826575
OG0010656,CTCFL,Ma:Man,1.018e-05,0.00333102
OG0010724,RUSF1,Ma:Man,0.003977,0.30039606666666663
OG0010763,APOBR,Ma:Man,0.0009947,0.09694581505376346
OG0010794,WDR90,Ma:Man,0.03007,1.0
OG0010801,MSLN,Ma:Man,0.03439,1.0
OG0010804,LMF1,Ma:Man,0.0008022,0.08454814883720929
OG0010827,CASKIN1,Ma:Man,0.01514,0.7886721839080459
OG0010842,PAQR4,Ma:Man,1.848e-10,5.0504608e-07
OG0010847,BICDL2,Ma:Man,0.002311,0.19761230188679246
OG0010899,CCT8L2,Ma:Man,0.005231,0.35134749629629625
OG0010922,CCP110,Ma:Man,0.005605,0.36971924637681164
OG0010925,TMC7,Ma:Man,0.0117,0.6466390243902439
OG0010928,SYT17,Ma:Man,0.0003424,0.04083570526315789
OG0011014,ADGRA3,Ma:Man,0.003109,0.24504326956521735
OG0011022,CC2D2A,Ma:Man,0.0189,0.9259978378378378
OG0011115,SMTNL2,Ma:Man,0.002054,0.18252407843137253
OG0011196,FNIP1,Ma:Man,0.04091,1.0
OG0011403,EXT2,Ma:Man,1.396e-05,0.004210640000000001
OG0011415,DGKZ,Ma:Man,3.26e-05,0.006423617391304348
OG0011506,ZFP36L1,Ma:Man,0.006648,0.4213809230769231
OG0011530,FAM161B,Ma:Man,0.02224,1.0
OG0011586,MRC1,Ma:Man,0.007568,0.46664185034013606
OG0011699,SPMAP2L,Ma:Man,0.03387,1.0
OG0011727,PON1,Ma:Man,0.01054,0.6008462893081762
OG0011736,MIOS,Ma:Man,1.347e-08,1.526151e-05
OG0011817,ANKMY1,Ma:Man,1.725e-07,0.0001202723076923077
OG0011911,CIMAP2,Ma:Man,7.833e-05,0.011639067540983608
OG0012046,BMP2K,Ma:Man,0.02878,1.0
OG0012059,PLAUR,Ma:Man,0.006572,0.4194972394366197
OG0012130,DENND2C,Ma:Man,1.519e-05,0.004210640000000001
OG0012149,CEPT1,Ma:Man,2.63e-10,5.0504608e-07
OG0012248,RNF183,Ma:Man,0.0001118,0.016085003174603173
OG0012267,C9orf152,Ma:Man,4.006e-06,0.001578712347826087
OG0012284,CAVIN4,Ma:Man,0.02138,1.0
OG0012324,CREB3,Ma:Man,0.0001161,0.01618969846153846
OG0012357,RMI1,Ma:Man,0.01725,0.8647947540983606
OG0012421,FREM1,Ma:Man,0.003318,0.2570457435897436
OG0012427,ADAMTSL1,Ma:Man,1.201e-06,0.0007257242666666667
OG0012455,PTPDC1,Ma:Man,4.838e-05,0.008598359215686274
OG0012465,ZC3HAV1,Ma:Man,0.02349,1.0
OG0012482,ZMYM3,Ma:Man,1.454e-05,0.004210640000000001
OG0012508,SSC5D,Ma:Man,0.04236,1.0
OG0012519,STXBP2,Ma:Man,0.03582,1.0
OG0012522,CAMSAP3,Ma:Man,0.001852,0.16956088888888887
OG0012555,HEXA,Ma:Man,0.007743,0.4710238389261745
OG0012567,POLE2,Ma:Man,7.505e-05,0.011529715254237287
OG0012597,AP5Z1,Ma:Man,0.01863,0.91773
OG0012619,STC2,Ma:Man,0.008801,0.5318150933333333
OG0012686,CEP41,Ma:Man,0.01694,0.8577886033519554
OG0012754,NNT,Ma:Man,0.0002245,0.02787490410958904
OG0012765,C6,Ma:Man,0.01974,0.9619535483870969
OG0012787,RAI14,Ma:Man,0.003304,0.2570457435897436
OG0012793,PDZD2,Ma:Man,0.02589,1.0
OG0012862,DOCK11,Ma:Man,0.0008907,0.08970338666666666
OG0012919,AHSG,Ma:Man,0.04237,1.0
OG0012945,KLHL6,Ma:Man,0.0008843,0.08970338666666666
OG0013021,APP,Ma:Man,0.02217,1.0
OG0013053,UMODL1,Ma:Man,0.01657,0.8437667415730338
OG0013078,MORC3,Ma:Man,4.076e-05,0.007696846666666667
OG0013086,IFNAR1,Ma:Man,0.009529,0.5608497142857142
OG0013117,ALPK1,Ma:Man,0.005369,0.35782805882352936
OG0013138,FAT4,Ma:Man,0.005629,0.36971924637681164
OG0013187,MND1,Ma:Man,0.02071,0.9984863829787233
OG0013204,FSTL5,Ma:Man,0.002377,0.20135633644859816
OG0013272,APC2,Ma:Man,0.04336,1.0
OG0013282,DOT1L,Ma:Man,0.000207,0.026426028169014085
OG0013288,TMPRSS9,Ma:Man,0.002961,0.23839122123893805
OG0013320,STAP2,Ma:Man,0.02561,1.0
OG0013336,PRR22,Ma:Man,0.0002151,0.0270787
OG0013346,KHSRP,Ma:Man,2.774e-06,0.0011973112380952381
OG0013411,METTL25,Ma:Man,0.007674,0.46998064864864864
OG0013430,CHRNA5,Ma:Man,0.004213,0.30795670967741934
OG0013532,SIPA1,Ma:Man,0.02251,1.0
OG0013535,EHBP1L1,Ma:Man,0.0352,1.0
OG0013565,PLCB3,Ma:Man,0.02824,1.0
OG0013582,NXF1,Ma:Man,0.01466,0.7725479069767441
OG0013601,FEN1,Ma:Man,2.982e-06,0.001228584
OG0013616,TMEM132A,Ma:Man,0.01532,0.7934884571428571
OG0013660,FIRRM,Ma:Man,0.01301,0.7056971428571428
OG0013683,ALDH9A1,Ma:Man,6.138e-05,0.010115424
OG0013684,LRRC52,Ma:Man,2.953e-05,0.00609554
OG0013768,ENAH,Ma:Man,0.03457,1.0
OG0013928,ADGRA2,Ma:Man,0.03459,1.0
OG0013952,MTMR7,Ma:Man,0.0008725,0.08970338666666666
OG0014094,FNDC5,Ma:Man,0.01746,0.8647947540983606
OG0014130,XKR8,Ma:Man,0.0009095,0.0905901978021978
OG0014192,EIF4G3,Ma:Man,9.721e-08,7.961213333333334e-05
OG0014242,NPPA,Ma:Man,0.04571,1.0
OG0014252,TARDBP,Ma:Man,7.184e-05,0.011226857931034484
OG0014302,ACAP3,Ma:Man,0.0001381,0.018682662686567163
OG0014358,ZFAT,Ma:Man,2.467e-05,0.0054538751219512195
OG0014501,RB1CC1,Ma:Man,0.003451,0.262856
OG0014518,ZFHX4,Ma:Man,5.512e-05,0.00942656
